OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1279,2020-019A,2025-04-20T11:55:34.996512,15.06394945,.0001202,53.0528,147.4838,100.0710,260.0414,0,U,45360,999,28142,.39201E-3,.5562E-4,0
STARLINK-1301,2020-019B,2025-04-20T13:13:48.900288,15.06394393,.000161,53.0527,157.2430,88.3170,271.8003,0,U,45361,999,28130,-.65651E-3,-.10045E-3,0
STARLINK-1306,2020-019C,2025-04-20T12:44:39.829056,15.06401718,.0001584,53.0533,177.3312,72.6266,287.4896,0,U,45362,999,28101,.25363E-3,.3498E-4,0
STARLINK-1262,2020-019G,2025-04-20T10:47:54.343392,15.06416878,.0001307,53.0528,177.6992,80.8709,279.2428,0,U,45366,999,28101,.76916E-3,.11199E-3,0
STARLINK-1273,2020-019H,2025-04-20T12:55:16.349952,15.06418884,.0001511,53.0540,177.2962,104.4175,255.6982,0,U,45367,999,28102,-.45072E-3,-.6992E-4,0
STARLINK-1276,2020-019J,2025-04-20T13:48:22.248000,15.06409308,.0001385,53.0529,177.1358,93.2380,266.8767,0,U,45368,999,28103,.74873E-3,.10891E-3,0
STARLINK-1277,2020-019K,2025-04-20T12:02:20.044896,15.06390864,.0001178,53.0540,178.0925,79.5698,280.5424,0,U,45369,999,28101,.30729E-3,.4297E-4,0
STARLINK-1281,2020-019L,2025-04-20T13:32:26.184480,15.06400711,.000146,53.0526,177.1830,71.7754,288.3393,0,U,45370,999,28103,.49204E-3,.7055E-4,0
STARLINK-1300,2020-019Q,2025-04-20T14:04:15.780864,15.06401515,.000167,53.0536,177.0869,72.0701,288.0469,0,U,45374,999,28103,.37294E-3,.5278E-4,0
STARLINK-1302,2020-019R,2025-04-20T14:25:31.497600,15.06400967,.0001043,53.0520,177.0179,100.1724,259.9383,0,U,45375,999,28103,.91705E-3,.13405E-3,0
STARLINK-1304,2020-019S,2025-04-20T13:16:30.100224,15.06402867,.0001382,53.0536,177.2303,95.9150,264.1996,0,U,45376,999,28102,.42615E-3,.6072E-4,0
STARLINK-1305,2020-019T,2025-04-20T10:42:36.041472,15.06401151,.0001442,53.0535,177.7150,72.9787,287.1360,0,U,45377,999,28101,.54805E-3,.7891E-4,0
STARLINK-1319,2020-019V,2025-04-20T13:43:03.543456,15.06404318,.0001664,53.0542,177.1505,60.1909,299.9245,0,U,45379,999,28103,.56025E-3,.8074E-4,0
STARLINK-1258,2020-019X,2025-04-20T10:45:13.796640,15.06382284,.0001491,53.0537,157.7040,84.1123,276.0036,0,U,45381,999,28128,.7987E-4,.908E-5,0
STARLINK-1266,2020-019Z,2025-04-20T12:10:09.989184,15.06399260,.0001245,53.0533,157.4373,100.3027,259.8102,0,U,45383,999,28129,.3574E-3,.5046E-4,0
STARLINK-1267,2020-019AA,2025-04-20T10:13:29.695296,15.06399177,.0001438,53.0531,158.4588,101.4317,258.6833,0,U,45384,999,28127,-.30006E-3,-.4748E-4,0
STARLINK-1272,2020-019AC,2025-04-20T11:59:33.352512,15.06395069,.0001302,53.0526,157.4724,105.4703,254.6430,0,U,45386,999,28129,.39782E-3,.5648E-4,0
